unit,knot_0,knot_1,knot_2,knot_3,knot_4,knot_5,knot_6,knot_7,knot_8,knot_9,knot_10,knot_11,knot_12,knot_13,knot_14,knot_15,knot_16,knot_17,knot_18,knot_19,knot_20
0,-5.000000,-4.500000,-4.000000,-3.517662,-3.027564,-2.575006,-2.047504,-1.531652,-1.045138,-0.512882,0.004030,0.511173,1.026205,1.518932,2.015027,2.508158,2.999583,3.489231,4.000355,4.499717,5.000000
1,-5.000000,-4.500000,-4.004156,-3.518861,-3.046400,-2.582831,-2.093750,-1.588751,-1.076068,-0.525401,0.005676,0.517753,1.025556,1.545511,2.029506,2.498120,2.990993,3.494937,3.984089,4.485377,5.000000
2,-5.000000,-4.500000,-4.000000,-3.500000,-3.000000,-2.524961,-2.032691,-1.575746,-1.038561,-0.508769,-0.012179,0.494295,1.028100,1.523137,2.004007,2.508712,2.996613,3.500000,4.000000,4.500000,5.000000
3,-5.000000,-4.500000,-4.000000,-3.500000,-3.009962,-2.489518,-2.013901,-1.606258,-1.085637,-0.548174,0.001499,0.507960,1.009922,1.507651,1.995023,2.488170,3.000000,3.500000,4.000000,4.500000,5.000000
4,-5.000000,-4.500000,-4.000000,-3.507876,-3.019686,-2.539652,-2.079875,-1.513461,-1.008671,-0.516861,0.002448,0.497074,1.011877,1.527615,1.992720,2.516274,2.998471,3.500000,4.000000,4.500000,5.000000
5,-5.000000,-4.500000,-4.000000,-3.500000,-3.006500,-2.535889,-2.067931,-1.512515,-1.051231,-0.563089,-0.011102,0.526492,1.035733,1.524403,2.000415,2.505944,3.000000,3.500000,4.000000,4.500000,5.000000
6,-5.000000,-4.500000,-4.000000,-3.517514,-3.046575,-2.590388,-2.054943,-1.548758,-1.042527,-0.537013,-0.013566,0.487702,1.032727,1.544926,2.027576,2.521039,3.011842,3.490192,3.984556,4.495087,5.000000
7,-5.000000,-4.500000,-4.000000,-3.500000,-3.000000,-2.512259,-2.031037,-1.517720,-1.034235,-0.520182,-0.005961,0.530093,1.024857,1.499591,1.990280,2.500000,3.000000,3.500000,4.000000,4.500000,5.000000
8,-5.011487,-4.520000,-4.040722,-3.563466,-3.090799,-2.597543,-2.064275,-1.555137,-1.072636,-0.558456,-0.027083,0.488464,1.004550,1.515951,2.041807,2.514514,2.989243,3.495520,4.005270,4.500000,5.000000
9,-5.000000,-4.501715,-4.018322,-3.518748,-3.046706,-2.578592,-2.101448,-1.600623,-1.062949,-0.557448,-0.018451,0.524798,1.035073,1.528446,2.013224,2.491864,3.009534,3.504165,3.989632,4.492578,5.000000
