module,unit,tv,l2
net.1,0,3.759612,1.046043
net.1,1,1.854399,1.014751
net.1,2,3.851293,1.042957
net.1,3,4.486051,1.014819
net.1,4,2.884555,1.024205
net.1,5,4.851912,1.067774
net.1,6,3.170142,1.023839
net.1,7,4.265519,1.054113
net.1,8,1.751725,1.020135
net.1,9,1.598460,0.991837
net.1,10,2.918952,1.027513
net.1,11,3.854290,1.042715
net.1,12,2.813818,1.000240
net.1,13,2.441221,1.015449
net.1,14,5.047597,1.062006
net.1,15,5.043386,1.067589
net.1,16,3.643027,1.093741
net.1,17,4.074385,1.045955
net.1,18,4.112068,1.059066
net.1,19,6.066120,1.097369
net.1,20,3.874143,1.041666
net.1,21,1.061870,1.003544
net.1,22,3.289141,1.036421
net.1,23,1.945059,0.993757
net.1,24,3.803771,1.106205
net.1,25,2.993644,1.025268
net.1,26,2.400244,1.015539
net.1,27,4.145936,1.045329
net.1,28,1.047363,1.005349
net.1,29,2.170519,0.995367
net.1,30,4.276075,1.031029
net.1,31,1.737942,0.991488
net.1,32,2.241678,1.026460
net.1,33,5.273209,1.072936
net.1,34,3.849027,1.040100
net.1,35,3.270680,1.088521
net.1,36,4.011469,1.039770
net.1,37,1.522829,1.012323
net.1,38,3.908245,1.040179
net.1,39,3.031948,1.026834
net.1,40,2.558616,1.016492
net.1,41,3.903016,1.040300
net.1,42,4.737174,1.047736
net.1,43,3.762459,1.010897
net.1,44,2.131809,1.019263
net.1,45,3.922985,1.045388
net.1,46,3.082688,1.034367
net.1,47,3.809780,1.043593
net.1,48,3.682887,1.046658
net.1,49,3.272390,1.023489
net.1,50,4.453912,1.044889
net.1,51,1.892689,1.008076
net.1,52,6.227116,1.076779
net.1,53,2.688674,1.001439
net.1,54,4.367650,1.050491
net.1,55,6.073419,1.104347
net.1,56,4.381906,1.063279
net.1,57,0.226438,1.000300
net.1,58,2.531212,1.018337
net.1,59,1.789895,0.992728
net.1,60,1.104696,1.004532
net.1,61,3.521782,1.027311
net.1,62,4.836458,1.064644
net.1,63,3.490168,1.035179
net.3,0,0.533887,1.001020
net.3,1,3.619659,1.039463
net.3,2,2.745367,1.021644
net.3,3,2.080824,1.015244
net.3,4,0.371666,1.000622
net.3,5,2.583023,1.022000
net.3,6,3.809085,1.043038
net.3,7,3.175233,1.030326
net.3,8,3.593699,1.039615
net.3,9,0.151804,1.000064
net.3,10,3.403203,1.035341
net.3,11,0.913688,1.003028
net.3,12,0.345017,1.000538
net.3,13,4.045886,1.046965
net.3,14,2.605880,1.021872
net.3,15,3.445106,1.042964
net.3,16,3.178603,1.030658
net.3,17,4.198761,1.055390
net.3,18,3.474544,1.047500
net.3,19,3.493105,1.037226
net.3,20,2.628814,1.020851
net.3,21,1.942843,1.012886
net.3,22,3.612120,1.042558
net.3,23,0.330216,1.000342
net.3,24,2.872216,1.024943
net.3,25,0.296600,1.000295
net.3,26,2.040200,1.013653
net.3,27,4.369457,1.055140
net.3,28,2.680641,1.026660
net.3,29,4.542363,1.057749
net.3,30,0.533654,1.001111
net.3,31,2.529247,1.010855
net.3,32,2.051381,1.013583
net.3,33,2.947523,1.023858
net.3,34,1.019678,1.004188
net.3,35,2.115666,1.012738
net.3,36,1.135291,1.004309
net.3,37,1.800225,1.013571
net.3,38,1.462757,1.002994
net.3,39,5.913755,1.103250
net.3,40,4.560586,1.038771
net.3,41,4.147628,1.050092
net.3,42,3.237275,1.032210
net.3,43,0.348848,1.000369
net.3,44,2.429250,1.018903
net.3,45,3.091671,1.032177
net.3,46,4.115326,1.050176
net.3,47,3.545728,1.042110
net.3,48,3.357435,1.028502
net.3,49,4.438819,1.063805
net.3,50,2.620393,1.018454
net.3,51,3.360312,1.027967
net.3,52,0.667481,1.002013
net.3,53,0.229773,1.000278
net.3,54,2.078257,1.011531
net.3,55,3.668530,1.048328
net.3,56,3.135918,1.028507
net.3,57,2.620044,1.023672
net.3,58,3.795604,1.048846
net.3,59,2.219400,1.016227
net.3,60,2.969117,1.026180
net.3,61,3.670334,1.038862
net.3,62,3.700722,1.042401
net.3,63,2.839596,1.024983
net.5,0,3.394315,1.027574
net.5,1,3.247949,1.034077
net.5,2,0.985253,1.003144
net.5,3,3.057602,1.030383
net.5,4,3.527611,1.043016
net.5,5,3.625090,1.046887
net.5,6,2.766971,1.022153
net.5,7,2.744904,1.023908
net.5,8,2.248874,1.017216
net.5,9,3.337893,1.041050
net.5,10,2.861709,1.022258
net.5,11,1.643622,1.010336
net.5,12,2.378389,1.020325
net.5,13,2.983443,1.027461
net.5,14,2.343376,1.020428
net.5,15,2.710785,1.024030
net.5,16,4.155488,1.052004
net.5,17,2.522748,1.023283
net.5,18,2.367241,1.023341
net.5,19,3.266679,1.031788
net.5,20,0.613387,1.001296
net.5,21,1.142733,1.004222
net.5,22,3.279325,1.032086
net.5,23,0.963462,1.002865
net.5,24,3.983794,1.047298
net.5,25,3.253842,1.028020
net.5,26,2.734712,1.027298
net.5,27,1.913285,1.013580
net.5,28,0.529037,1.000973
net.5,29,2.424037,1.016905
net.5,30,3.535901,1.038544
net.5,31,3.380103,1.035204
