module,unit,knot_index,grad_norm
net.1,0,0,0.0
net.1,0,1,0.0
net.1,0,2,0.0
net.1,0,3,0.000173257181813824
net.1,0,4,0.0007026530292932875
net.1,0,5,0.00035816563467960805
net.1,0,6,0.00018953873222926632
net.1,0,7,0.00015877969872235553
net.1,0,8,0.00022985429131949786
net.1,0,9,0.0003899468829331454
net.1,0,10,0.0004982225400453899
net.1,0,11,0.0006872624944662675
net.1,0,12,0.0002947062093880959
net.1,0,13,0.0001688001739239553
net.1,0,14,0.0001746865345921833
net.1,0,15,5.234237505646888e-05
net.1,0,16,9.18370815270464e-05
net.1,0,17,7.273029950738419e-05
net.1,0,18,0.00035134297286276706
net.1,0,19,3.53764602323281e-05
net.1,0,20,0.0
net.1,1,0,0.0
net.1,1,1,1.740447999054595e-05
net.1,1,2,6.420471299861674e-05
net.1,1,3,6.133776423666859e-05
net.1,1,4,6.898457286297344e-05
net.1,1,5,4.008146720479999e-05
net.1,1,6,0.00012013267632937641
net.1,1,7,0.0002659631354617886
net.1,1,8,0.0002560881489444
net.1,1,9,0.0003482757674646564
net.1,1,10,0.00019795003390754573
net.1,1,11,0.00016465616681671236
net.1,1,12,0.00011221173008379992
net.1,1,13,8.480719225190114e-05
net.1,1,14,5.676662749465322e-05
net.1,1,15,6.456380333474954e-05
net.1,1,16,3.0909410043022945e-05
net.1,1,17,3.665237422012524e-05
net.1,1,18,4.622925942499023e-06
net.1,1,19,0.0
net.1,1,20,0.0
net.1,2,0,0.0
net.1,2,1,0.0
net.1,2,2,0.0
net.1,2,3,0.0
net.1,2,4,0.0
net.1,2,5,0.0
net.1,2,6,0.0
net.1,2,7,0.0
net.1,2,8,0.0
net.1,2,9,0.0
net.1,2,10,0.00011281511024208157
net.1,2,11,0.00017567030954523943
net.1,2,12,0.00024308111096615903
net.1,2,13,0.0008417933058808558
net.1,2,14,0.000578700564801693
net.1,2,15,0.0005917535891057923
net.1,2,16,1.6335564396285918e-05
net.1,2,17,0.0
net.1,2,18,0.0
net.1,2,19,0.0
net.1,2,20,0.0
net.1,3,0,0.0004737211929750629
net.1,3,1,7.037369687168393e-05
net.1,3,2,5.5757552217983175e-05
net.1,3,3,6.585610026377253e-05
net.1,3,4,0.00012229060575918993
net.1,3,5,0.00019954582057835069
net.1,3,6,0.0002355276756134117
net.1,3,7,0.0002007240182138048
net.1,3,8,0.0002581908011052292
net.1,3,9,0.00013713016005567624
net.1,3,10,0.0001690785256869276
net.1,3,11,0.00014902253315085545
net.1,3,12,0.00011302728307782672
net.1,3,13,3.72422618966084e-05
net.1,3,14,8.79393753621116e-05
net.1,3,15,0.00010815511268447153
net.1,3,16,8.291021958939382e-05
net.1,3,17,7.092886005466426e-05
net.1,3,18,1.7686283513285161e-06
net.1,3,19,0.0
net.1,3,20,0.0
net.1,4,0,0.0
net.1,4,1,0.0
net.1,4,2,0.0
net.1,4,3,0.0
net.1,4,4,0.0
net.1,4,5,3.1599172132246167e-06
net.1,4,6,0.00014203046339389402
net.1,4,7,5.9037422033725306e-05
net.1,4,8,0.0007008594911894761
net.1,4,9,0.00039150794327724725
net.1,4,10,6.40563066554023e-05
net.1,4,11,2.1782914018331212e-05
net.1,4,12,0.0
net.1,4,13,0.0
net.1,4,14,0.0
net.1,4,15,0.0
net.1,4,16,0.0
net.1,4,17,0.0
net.1,4,18,0.0
net.1,4,19,0.0
net.1,4,20,0.0
net.1,5,0,0.0
net.1,5,1,0.0
net.1,5,2,0.0
net.1,5,3,0.0
net.1,5,4,0.0
net.1,5,5,2.3862471607571933e-06
net.1,5,6,0.0012877766857855022
net.1,5,7,0.0012730462476611137
net.1,5,8,0.0013574905460700393
net.1,5,9,0.0003408840457268525
net.1,5,10,0.00047937762428773567
net.1,5,11,8.756215805760803e-07
net.1,5,12,0.0
net.1,5,13,0.0
net.1,5,14,0.0
net.1,5,15,0.0
net.1,5,16,0.0
net.1,5,17,0.0
net.1,5,18,0.0
net.1,5,19,0.0
net.1,5,20,0.0
net.1,6,0,0.0
net.1,6,1,0.0
net.1,6,2,0.0
net.1,6,3,0.0
net.1,6,4,0.0
net.1,6,5,0.0
net.1,6,6,0.0
net.1,6,7,0.0
net.1,6,8,8.279296071123099e-05
net.1,6,9,0.0002530677729737363
net.1,6,10,7.294528222701047e-05
net.1,6,11,2.3161859644460492e-05
net.1,6,12,9.65985564107541e-05
net.1,6,13,0.00025023696434800513
net.1,6,14,0.0001821048344936571
net.1,6,15,0.00011259693201282062
net.1,6,16,0.00022499102487927303
net.1,6,17,0.0006907320494065061
net.1,6,18,0.00030486298783216625
net.1,6,19,0.0
net.1,6,20,0.0
net.1,7,0,0.0
net.1,7,1,0.0
net.1,7,2,0.0
net.1,7,3,0.0
net.1,7,4,0.0
net.1,7,5,0.0006262484821490943
net.1,7,6,0.0011851258750539273
net.1,7,7,0.0005253345225355588
net.1,7,8,0.00034720353869488463
net.1,7,9,0.00021992519759805873
net.1,7,10,0.00026376471942057833
net.1,7,11,0.0003963878953072708
net.1,7,12,0.0001854536080827529
net.1,7,13,7.262252984219231e-05
net.1,7,14,0.00014016528439242393
net.1,7,15,0.0002221140020992607
net.1,7,16,0.00038986170420685085
net.1,7,17,0.00031471568490815116
net.1,7,18,0.0
net.1,7,19,0.0
net.1,7,20,0.0
net.1,8,0,0.0
net.1,8,1,0.0
net.1,8,2,0.0
net.1,8,3,0.0
net.1,8,4,1.6410172349878849e-06
net.1,8,5,1.757093787091435e-05
net.1,8,6,1.2787443210982019e-05
net.1,8,7,4.674362344303518e-06
net.1,8,8,3.325655643493519e-05
net.1,8,9,9.525037967250682e-05
net.1,8,10,0.00015864904253248824
net.1,8,11,0.00019426024664426222
net.1,8,12,0.0001607604185664968
net.1,8,13,0.00021218609253992327
net.1,8,14,8.477672326989705e-05
net.1,8,15,9.084421526495134e-05
net.1,8,16,7.170728531491477e-05
net.1,8,17,3.982080306741409e-05
net.1,8,18,2.352464525756659e-05
net.1,8,19,1.8173265061705024e-05
net.1,8,20,1.2342539093879168e-05
net.1,9,0,3.779266944547999e-05
net.1,9,1,2.5663664473540848e-05
net.1,9,2,3.0117382266325876e-05
net.1,9,3,3.783710212701408e-05
net.1,9,4,0.00012441413764463505
net.1,9,5,7.375295115252811e-05
net.1,9,6,0.0001944584064403898
net.1,9,7,0.0003354581458552275
net.1,9,8,0.0003815221516560996
net.1,9,9,0.00042000064422609285
net.1,9,10,0.00026726218311523553
net.1,9,11,0.00014181180722516729
net.1,9,12,6.217097234184621e-05
net.1,9,13,1.3464642648841618e-05
net.1,9,14,1.8862720708057168e-05
net.1,9,15,2.491083250788506e-05
net.1,9,16,0.0
net.1,9,17,0.0
net.1,9,18,0.0
net.1,9,19,0.0
net.1,9,20,0.0
net.1,10,0,6.913415199960582e-05
net.1,10,1,2.9978268003105768e-05
net.1,10,2,3.1413871965924045e-05
net.1,10,3,9.026258248923114e-05
net.1,10,4,0.00016114475511130877
net.1,10,5,0.0002138034724339377
net.1,10,6,0.0002594377292552963
net.1,10,7,0.0002657048771652626
net.1,10,8,0.00012573215235534008
net.1,10,9,8.842184251989238e-05
net.1,10,10,5.802342138849781e-05
