unit,support_width,locality_index,left_boundary,right_boundary,module,model
0,500,0.9012533388795116,0,499,kan_kan,KAN
1,500,0.9151537100937226,0,499,kan_kan,KAN
2,498,0.8301337087861314,1,498,kan_kan,KAN
3,500,0.9338349047928138,0,499,kan_kan,KAN
4,499,0.8929470839166188,1,499,kan_kan,KAN
5,499,0.8827770954473181,1,499,kan_kan,KAN
6,500,0.8442590237704931,0,499,kan_kan,KAN
7,499,0.8634224585629591,1,499,kan_kan,KAN
8,500,0.8887958118237922,0,499,kan_kan,KAN
9,498,0.8638287767662496,0,497,kan_kan,KAN
0,499,0.7719185691793102,0,498,baseline_features_10,Baseline
1,495,0.7796412642024578,4,498,baseline_features_10,Baseline
2,499,0.8199397089104835,1,499,baseline_features_10,Baseline
3,498,0.840151544836249,0,497,baseline_features_10,Baseline
4,499,0.8759668422369737,1,499,baseline_features_10,Baseline
5,497,0.8358866365165311,0,496,baseline_features_10,Baseline
6,500,0.9979978190798874,0,499,baseline_features_10,Baseline
7,499,0.8082457127441329,1,499,baseline_features_10,Baseline
8,500,0.8551559243012347,0,499,baseline_features_10,Baseline
9,497,0.8466613213634501,0,496,baseline_features_10,Baseline
10,498,0.7304361847022122,0,497,baseline_features_10,Baseline
11,488,0.7895940762270893,0,487,baseline_features_10,Baseline
12,499,0.890023220599889,1,499,baseline_features_10,Baseline
13,500,0.8309445500772494,0,499,baseline_features_10,Baseline
14,500,0.8998206708335553,0,499,baseline_features_10,Baseline
15,499,0.8768474213368057,1,499,baseline_features_10,Baseline
16,500,0.7855511333290446,0,499,baseline_features_10,Baseline
17,497,0.6537651844872845,0,496,baseline_features_10,Baseline
18,500,0.8879263280097331,0,499,baseline_features_10,Baseline
19,487,0.6617071623286493,5,491,baseline_features_10,Baseline
20,496,0.6981548447642116,1,496,baseline_features_10,Baseline
21,497,0.7100361084393886,0,496,baseline_features_10,Baseline
22,486,0.678946305208632,12,497,baseline_features_10,Baseline
23,492,0.7062987483461054,5,496,baseline_features_10,Baseline
24,499,0.874803801785592,1,499,baseline_features_10,Baseline
25,500,0.8869267543428152,0,499,baseline_features_10,Baseline
26,499,0.8865201975366711,0,498,baseline_features_10,Baseline
27,496,0.7830574161584417,1,496,baseline_features_10,Baseline
28,497,0.7296090930304955,0,496,baseline_features_10,Baseline
29,493,0.7806821356709764,5,497,baseline_features_10,Baseline
30,499,0.8859122767554102,0,498,baseline_features_10,Baseline
31,497,0.8627102415186572,0,496,baseline_features_10,Baseline
32,497,0.8186169577026083,0,496,baseline_features_10,Baseline
33,496,0.6797320585236515,1,496,baseline_features_10,Baseline
34,497,0.8663960639232113,0,496,baseline_features_10,Baseline
35,498,0.8031660524654638,0,497,baseline_features_10,Baseline
36,499,0.8470143698696583,1,499,baseline_features_10,Baseline
37,500,0.8309605604967011,0,499,baseline_features_10,Baseline
38,497,0.6692848918781013,0,496,baseline_features_10,Baseline
39,499,0.7816696342476627,1,499,baseline_features_10,Baseline
40,496,0.8574994937912818,1,496,baseline_features_10,Baseline
41,497,0.8527375284737108,0,496,baseline_features_10,Baseline
42,496,0.7856708340530467,1,496,baseline_features_10,Baseline
43,474,0.7261028707193887,5,478,baseline_features_10,Baseline
44,496,0.6704952248467838,1,496,baseline_features_10,Baseline
45,499,0.8883643760804131,1,499,baseline_features_10,Baseline
46,499,0.8692494324876381,0,498,baseline_features_10,Baseline
47,496,0.8243298222490836,1,496,baseline_features_10,Baseline
48,493,0.7702873184237549,4,496,baseline_features_10,Baseline
49,498,0.8406660907049958,2,499,baseline_features_10,Baseline
50,499,0.8144408153732863,0,498,baseline_features_10,Baseline
51,499,0.8085560561691806,0,498,baseline_features_10,Baseline
52,499,0.8761174586930408,1,499,baseline_features_10,Baseline
53,499,0.8889707195356362,1,499,baseline_features_10,Baseline
54,498,0.7021557231332662,1,498,baseline_features_10,Baseline
55,492,0.7272802340976044,5,496,baseline_features_10,Baseline
56,499,0.8813135192541722,1,499,baseline_features_10,Baseline
57,496,0.8458793454894235,1,496,baseline_features_10,Baseline
58,496,0.7695820501406575,1,496,baseline_features_10,Baseline
59,471,0.6441714841831658,5,475,baseline_features_10,Baseline
60,499,0.8688982999944735,0,498,baseline_features_10,Baseline
61,498,0.8009807547219961,0,497,baseline_features_10,Baseline
62,499,0.8788914365091662,0,498,baseline_features_10,Baseline
63,500,0.8598473573269425,0,499,baseline_features_10,Baseline
64,499,0.8106408055458876,1,499,baseline_features_10,Baseline
65,497,0.7999419887281742,0,496,baseline_features_10,Baseline
66,499,0.8382570284845768,1,499,baseline_features_10,Baseline
67,499,0.8613746170690895,1,499,baseline_features_10,Baseline
68,497,0.6895866069324577,0,496,baseline_features_10,Baseline
69,500,0.8894266929537661,0,499,baseline_features_10,Baseline
70,498,0.7544497239477603,2,499,baseline_features_10,Baseline
71,499,0.8367432565410009,1,499,baseline_features_10,Baseline
72,493,0.7188929682549106,5,497,baseline_features_10,Baseline
73,499,0.8675469750910882,1,499,baseline_features_10,Baseline
74,498,0.7552718310095494,2,499,baseline_features_10,Baseline
75,485,0.6297121361986404,13,497,baseline_features_10,Baseline
76,496,0.6645892747732643,1,496,baseline_features_10,Baseline
77,497,0.8137938794698024,0,496,baseline_features_10,Baseline
78,499,0.8164775890962577,0,498,baseline_features_10,Baseline
79,499,0.8988623694193487,0,498,baseline_features_10,Baseline
80,491,0.7254887583769933,7,497,baseline_features_10,Baseline
81,499,0.7680451328716656,1,499,baseline_features_10,Baseline
82,500,0.9186533374536547,0,499,baseline_features_10,Baseline
83,496,0.7597152734554948,1,496,baseline_features_10,Baseline
84,499,0.8378784109341503,0,498,baseline_features_10,Baseline
85,485,0.7462955980760434,0,484,baseline_features_10,Baseline
86,498,0.7173211977458672,2,499,baseline_features_10,Baseline
87,499,0.8879369184126134,1,499,baseline_features_10,Baseline
88,496,0.8076636253790475,1,496,baseline_features_10,Baseline
89,499,0.8286983785722544,1,499,baseline_features_10,Baseline
90,497,0.6427160723726231,0,496,baseline_features_10,Baseline
91,497,0.6127103126735169,3,499,baseline_features_10,Baseline
92,499,0.8978527188584214,0,498,baseline_features_10,Baseline
93,499,0.8652049978262996,1,499,baseline_features_10,Baseline
94,499,0.7282529683779524,1,499,baseline_features_10,Baseline
95,497,0.7966811619942938,0,496,baseline_features_10,Baseline
96,498,0.8044397227511086,0,497,baseline_features_10,Baseline
97,500,0.8838456404929963,0,499,baseline_features_10,Baseline
98,496,0.6998650260303497,1,496,baseline_features_10,Baseline
99,496,0.6174617302048249,1,496,baseline_features_10,Baseline
100,493,0.6986867576666749,5,497,baseline_features_10,Baseline
101,499,0.8669192983954168,0,498,baseline_features_10,Baseline
102,499,0.7955782647438686,1,499,baseline_features_10,Baseline
103,497,0.7715063042340035,0,496,baseline_features_10,Baseline
104,497,0.7558477309742645,0,496,baseline_features_10,Baseline
105,496,0.5681235263736382,1,496,baseline_features_10,Baseline
106,499,0.8342829268906331,1,499,baseline_features_10,Baseline
107,500,0.7840132103472013,0,499,baseline_features_10,Baseline
