unit,support_width,locality_index,left_boundary,right_boundary,module,model
0,800,0.9365129015606718,0,799,kan_net_1,KAN
1,800,0.9603947233852321,0,799,kan_net_1,KAN
2,694,0.967986032951398,0,693,kan_net_1,KAN
3,800,0.9647850930123314,0,799,kan_net_1,KAN
4,568,0.9469688681922696,232,799,kan_net_1,KAN
5,577,0.9340067932560028,0,576,kan_net_1,KAN
6,800,0.9197130649853918,0,799,kan_net_1,KAN
7,800,0.9301129156102771,0,799,kan_net_1,KAN
8,800,0.9478887012851304,0,799,kan_net_1,KAN
9,800,0.9401856104653549,0,799,kan_net_1,KAN
10,800,0.9499574722396705,0,799,kan_net_1,KAN
11,800,0.9999999999999984,0,799,kan_net_1,KAN
12,800,0.9446443644323694,0,799,kan_net_1,KAN
13,603,0.9545172433240505,197,799,kan_net_1,KAN
14,800,0.9259151595474375,0,799,kan_net_1,KAN
15,795,0.9979888972397976,0,794,kan_net_1,KAN
16,800,0.9318929137400662,0,799,kan_net_1,KAN
17,800,0.9999999999999981,0,799,kan_net_1,KAN
18,800,0.9228042022060411,0,799,kan_net_1,KAN
19,470,0.8990395424596944,0,469,kan_net_1,KAN
20,800,0.9391832184743211,0,799,kan_net_1,KAN
21,567,0.944601933233612,233,799,kan_net_1,KAN
22,800,0.9358913967991247,0,799,kan_net_1,KAN
23,800,0.9367191108612936,0,799,kan_net_1,KAN
24,800,0.9311547484994929,0,799,kan_net_1,KAN
25,800,0.9548325739460747,0,799,kan_net_1,KAN
26,800,0.9543603933391488,0,799,kan_net_1,KAN
27,800,0.9617370834929533,0,799,kan_net_1,KAN
28,800,0.9999999999999977,0,799,kan_net_1,KAN
29,800,0.9644405581789258,0,799,kan_net_1,KAN
30,800,0.9648145017593963,0,799,kan_net_1,KAN
31,800,0.9554474230310077,0,799,kan_net_1,KAN
32,800,0.9327719421688038,0,799,kan_net_1,KAN
33,800,0.9363470402161527,0,799,kan_net_1,KAN
34,800,0.9456190652103209,0,799,kan_net_1,KAN
35,800,0.919937673803211,0,799,kan_net_1,KAN
36,680,0.9708200093070062,0,679,kan_net_1,KAN
37,800,0.9595393466433029,0,799,kan_net_1,KAN
38,800,0.9389480389452314,0,799,kan_net_1,KAN
39,539,0.9414690566679387,261,799,kan_net_1,KAN
40,800,0.9644939851799706,0,799,kan_net_1,KAN
41,560,0.9450183478206584,240,799,kan_net_1,KAN
42,800,0.9156888990872676,0,799,kan_net_1,KAN
43,800,0.9622837503948471,0,799,kan_net_1,KAN
44,800,0.9233827243748362,0,799,kan_net_1,KAN
45,800,0.9359262378916954,0,799,kan_net_1,KAN
46,800,0.9162165284690299,0,799,kan_net_1,KAN
47,800,0.9481090567915619,0,799,kan_net_1,KAN
48,800,0.9218115483064935,0,799,kan_net_1,KAN
49,800,0.9184668302993978,0,799,kan_net_1,KAN
50,800,0.9716627921329665,0,799,kan_net_1,KAN
51,800,0.9269886482550664,0,799,kan_net_1,KAN
