unit,knot_0,knot_1,knot_2,knot_3,knot_4,knot_5,knot_6,knot_7,knot_8,knot_9,knot_10,knot_11,knot_12,knot_13,knot_14,knot_15,knot_16,knot_17,knot_18,knot_19,knot_20
0,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.599042,-0.288815,0.018821,0.287533,0.592406,0.915410,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
1,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.172341,-0.864573,-0.695303,-0.214752,-0.065653,0.287309,0.600000,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
2,-3.000000,-2.700000,-2.400000,-2.100000,-1.786958,-1.470969,-1.145908,-0.936703,-0.642648,-0.393313,0.035140,0.370255,0.672424,0.893427,1.141174,1.484030,1.791623,2.100000,2.400000,2.700000,3.000000
3,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.893793,-0.588156,-0.320202,0.070956,0.239394,0.590396,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
4,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.592492,-0.297016,-0.000286,0.276440,0.600000,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
5,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.885512,-0.560589,-0.369107,0.074510,0.279679,0.584585,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
6,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.191138,-0.853158,-0.520098,-0.394467,-0.062653,0.337014,0.659644,1.015422,1.138640,1.487913,1.800000,2.100000,2.400000,2.700000,3.000000
7,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.600000,-0.299738,-0.050352,0.356960,0.685626,0.813820,1.211798,1.548160,1.800000,2.100000,2.400000,2.700000,3.000000
8,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.489492,-1.147333,-0.988032,-0.666972,-0.326240,0.085062,0.385355,0.501363,0.862122,1.192144,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
9,-3.000000,-2.700000,-2.400000,-2.100000,-1.800000,-1.500000,-1.200000,-0.900000,-0.601675,-0.293848,0.000346,0.303828,0.600000,0.900000,1.200000,1.500000,1.800000,2.100000,2.400000,2.700000,3.000000
